No,Footnote,Divisions,Digitized Account,Recovered,Standard Title,Custom Title,Amount Y1,Amount Y2,Amount Y3,
1,,Major0,หนี้สินและส่วนของผู้ถือหุ้น,หนี้สินและส่วนของผู้ถือหุ้น,liabilities and equity,รวมสินทรัพย์,,,,
2,,Major0,หนี้สินหมุนเวียน,หนี้สินหมุนเวียน,current liabilities,รวมสินทรัพย์,,,,
3,,Major0,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้น,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,short-term loans payable,รวมสินทรัพย์,,,,
4,14,Major0,จากสถาบันการเงิน,เจ้าหนี้การค้า,accounts payable-trade,รวมสินทรัพย์,"20,590","13,669",,
5,15,Major0,เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้การค้าและเจ้าหนี้อื่น,accounts payable-trade,รวมสินทรัพย์,"428,842","538,733","329,130",
6,3,Major0,เจ้าหนี้กิจการที่เกี่ยวจ้องกัน,เจ้าหนี้อื่นกิจการที่เกี่ยวข้องกัน,accounts payable-trade,รวมสินทรัพย์,"5,846","5,372","50,291",
7,,Major0,ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายค้างจ่าย,accrued expenses,รวมสินทรัพย์,"86,610","187,217","75,146",
8,,Major0,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระ,ส่วนของหนี้สินตามสัญญาเช่าการเงินที่ถึงกำหนดชำระภายในหนึ่งปี,current portion of long-term loans payable,รวมสินทรัพย์,,,,
9,2,Major0,ภายในหนี้งปี,เจ้าหนี้อื่น,accounts payable-other,รวมสินทรัพย์,"20,447",,"15,472",
10,,Major0,ส่วนของหนี้สินภายใต้สัญญาการจัดการทางการเงิน,หนี้สินตามสัญญาเช่าการเงิน,lease obligations,รวมสินทรัพย์,,,,
11,16,Major0,ที่ถึงกำหนดชำระภายในหนี้งปื,เงินกู้ยืมระยะสั้น,short-term loans payable,รวมสินทรัพย์,"32,185","32,185","32,185",
12,,Major0,ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้ค้างจ่าย,income taxes payable,รวมสินทรัพย์,"1,869","1,346",,
13,,Major0,รายได้รับล่วงหนา,รายได้รับล่วงหน้า,advances received,รวมสินทรัพย์,"543,763","528,414","456,984",
14,,Major0,สันทุนที่ยังไม่เรียกชำระ,เจ้าหนี้กรมสรรพากร,other current liabilities,รวมสินทรัพย์,"232,875","212,086","227,271",
15,2,Major0,หนี้สินหมุนเรียนอื่น,หนี้สินหมุนเวียนอื่น,other current liabilities,รวมสินทรัพย์,"84,056","117,685","64,217",
16,,Major0,รวมหนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,current liabilities,รวมสินทรัพย์,"1,457,083","1,636,707","1,250,696",
17,,Major0,หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียน,noncurrent liabilities,รวมสินทรัพย์,,,,
18,,Major0,หนี้สินตามสัญญาเช่า - สุทธิจากส่วนที่,หนี้สินไม่หมุนเวียน,noncurrent liabilities,รวมสินทรัพย์,,,,
19,2,Major0,ถึงกำหนดชำระภายในหนี้งปื,ภาระผูกพันผลประโยชน์พนักงาน,provision for retirement benefits,รวมสินทรัพย์,"98,205",,"79,737",
20,,Major0,หนี้สินภายใต้สัญญาการจัดการทางการเงิน,หนี้สินภาษีรอการตัดบัญชี,deferred tax liabilities(noncuurent),รวมสินทรัพย์,,,,
21,16,Major0,- สุทธิจากส่วนที่ลึงกำหนดชำระภายในหนี้งปื,ประมาณการหนี้สินผลประโยชน์พนักงาน,provision for retirement benefits,รวมสินทรัพย์,"45,189","46,672","45,189",
22,,Major0,สำรองผลประโยชน์ระยะยาวของพนักงาน,สำรองผลประโยชน์ระยะยาวของพนักงาน,provision for retirement benefits,รวมสินทรัพย์,"133,195","129,524","113,215",
23,,Major0,รวมหนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,noncurrent liabilities,รวมสินทรัพย์,"276,589","176,196","238,141",
24,,Major0,รวมหนี้สิน,รวมหนี้สินไม่หมุนเวียน,noncurrent liabilities,รวมสินทรัพย์,"1,733,672","1,812,903","1,488,837",

